ID,Name,Botanical name,vine,bamboo,tree,shrub,cactus,edible,ornam.,fragrant,medicinal,wood,height range (m),germination time,germination comment,germination instructions,Description
56,Jujube,Ziziphus Mauritania,n,n,y,n,n,y,y,y,y,,5-10,2-4 weeks,,"Ziziphus mauritiana, also known as Indian jujube, Chinese date, or ber, is a spiny, evergreen shrub or small tree native to South Asia and now widely cultivated in the tropics and subtropics. Reaching heights of up to 15 meters, it features drooping branches, thorny stems, and small, oval-shaped leaves. Its fruit, the jujube, is a drupe that turns from green to yellow or reddish-brown as it ripens, offering a sweet and slightly tart flavor. Highly adaptable, Ziziphus mauritiana is valued for its drought resistance, soil-binding properties, and nutritious fruit, contributing to both economic and ecological benefits in many regions.","Ziziphus mauritiana, also known as Indian jujube, Chinese date, or ber, is a spiny, evergreen shrub or small tree native to South Asia and now widely cultivated in the tropics and subtropics. Reaching heights of up to 15 meters, it features drooping branches, thorny stems, and small, oval-shaped leaves. Its fruit, the jujube, is a drupe that turns from green to yellow or reddish-brown as it ripens, offering a sweet and slightly tart flavor. Highly adaptable, Ziziphus mauritiana is valued for its drought resistance, soil-binding properties, and nutritious fruit, contributing to both economic and ecological benefits in many regions."
57,Walnut Tree,Juglans Regia,n,n,y,n,n,y,n,n,n,,25-35,Variable,often requires stratification,"Juglans regia, commonly known as the Persian walnut, English walnut, or Carpathian walnut, is a deciduous tree in the walnut family native to the Iranian region. It's prized for its edible nuts, which are rich in nutrients and widely consumed. The tree is a large, spreading species, growing to heights of 10-40 meters, with smooth, gray bark and pinnately compound leaves. Its timber is also valuable, used for furniture making and veneer due to its attractive grain and workability.","Juglans regia, commonly known as the Persian walnut, English walnut, or Carpathian walnut, is a deciduous tree in the walnut family native to the Iranian region. It's prized for its edible nuts, which are rich in nutrients and widely consumed. The tree is a large, spreading species, growing to heights of 10-40 meters, with smooth, gray bark and pinnately compound leaves. Its timber is also valuable, used for furniture making and veneer due to its attractive grain and workability."
58,Catalpa Mix,Catalpa Erubescens,n,n,y,n,n,n,y,n,n,,10-15,2-3 weeks,,"Catalpa Erubescens, also known as the Purple Catalpa, is a deciduous tree prized for its beautiful foliage. Its heart-shaped leaves emerge in spring with a striking purple hue, gradually transitioning to a dark green as they mature. In late spring or early summer, it displays clusters of fragrant, trumpet-shaped flowers in shades of lavender or white with purple and yellow markings. These blossoms are followed by long, slender seed pods that persist into winter, adding visual interest to the bare branches. This relatively compact tree is a popular choice for gardens and landscapes, offering a combination of stunning foliage, attractive flowers, and unique seed pods.","Catalpa Erubescens, also known as the Purple Catalpa, is a deciduous tree prized for its beautiful foliage. Its heart-shaped leaves emerge in spring with a striking purple hue, gradually transitioning to a dark green as they mature. In late spring or early summer, it displays clusters of fragrant, trumpet-shaped flowers in shades of lavender or white with purple and yellow markings. These blossoms are followed by long, slender seed pods that persist into winter, adding visual interest to the bare branches. This relatively compact tree is a popular choice for gardens and landscapes, offering a combination of stunning foliage, attractive flowers, and unique seed pods."
59,Oak Tree,Quercus Robur,n,n,y,n,n,n,n,n,n,,20-40,Variable,often requires stratification,"Quercus robur, commonly known as the English oak or pedunculate oak, is a majestic and long-lived deciduous tree native to Europe. Characterized by its distinctive lobed leaves with short petioles, acorns held on long stalks (peduncles), and a broad, spreading crown, it is a keystone species in many woodland ecosystems. Reaching impressive heights and ages, the English oak provides vital habitat for numerous insects, birds, and mammals, and its strong, durable wood has been prized for centuries in construction, shipbuilding, and furniture making. This iconic tree is a symbol of strength, endurance, and longevity, deeply ingrained in European culture and history.","Quercus robur, commonly known as the English oak or pedunculate oak, is a majestic and long-lived deciduous tree native to Europe. Characterized by its distinctive lobed leaves with short petioles, acorns held on long stalks (peduncles), and a broad, spreading crown, it is a keystone species in many woodland ecosystems. Reaching impressive heights and ages, the English oak provides vital habitat for numerous insects, birds, and mammals, and its strong, durable wood has been prized for centuries in construction, shipbuilding, and furniture making. This iconic tree is a symbol of strength, endurance, and longevity, deeply ingrained in European culture and history."
60,Chestnut Tree,Castanea Sativa,n,n,y,n,n,y,n,n,n,,20-35,Variable,often requires stratification,"Castanea sativa, commonly known as the sweet chestnut, is a majestic deciduous tree prized for its edible nuts and durable timber. Native to Southern Europe and Asia Minor, it boasts a broad, spreading crown and elongated, serrated leaves that turn a vibrant golden-brown in autumn. Its catkin-like male flowers produce copious amounts of pollen, while the female flowers develop into spiky burs containing the prized chestnuts, a staple food source for centuries. Renowned for its longevity, the sweet chestnut can live for hundreds of years, providing shade, sustenance, and a valuable resource for both humans and wildlife.","Castanea sativa, commonly known as the sweet chestnut, is a majestic deciduous tree prized for its edible nuts and durable timber. Native to Southern Europe and Asia Minor, it boasts a broad, spreading crown and elongated, serrated leaves that turn a vibrant golden-brown in autumn. Its catkin-like male flowers produce copious amounts of pollen, while the female flowers develop into spiky burs containing the prized chestnuts, a staple food source for centuries. Renowned for its longevity, the sweet chestnut can live for hundreds of years, providing shade, sustenance, and a valuable resource for both humans and wildlife."
61,Pistacia Tree,Pistacia Vera,n,n,y,n,n,y,n,n,n,,8-12,Variable,can be slow,"Pistacia vera, more commonly known as the pistachio tree, is a small deciduous tree native to the Middle East and Central Asia, now cultivated extensively in warm climates around the world. It is prized for its edible seeds, the pistachios, which grow inside a hard, pale shell. The tree is drought-tolerant and relatively slow-growing, producing its distinctive nuts in clusters. Pistachios are enjoyed as a snack, used in culinary dishes, and are a source of healthy fats, protein, and antioxidants.","Pistacia vera, more commonly known as the pistachio tree, is a small deciduous tree native to the Middle East and Central Asia, now cultivated extensively in warm climates around the world. It is prized for its edible seeds, the pistachios, which grow inside a hard, pale shell. The tree is drought-tolerant and relatively slow-growing, producing its distinctive nuts in clusters. Pistachios are enjoyed as a snack, used in culinary dishes, and are a source of healthy fats, protein, and antioxidants."
62,Greengage Tree,Prunus Domestica,n,n,y,n,n,y,y,y,n,,5-10,1-2 weeks,,"Prunus domestica, commonly known as the European plum, is a deciduous tree or shrub belonging to the Rosaceae family.  Native to Europe and western Asia, it is widely cultivated for its edible fruit, the plum, which comes in a variety of colors, shapes, and sizes depending on the cultivar. The tree typically features oval-shaped leaves, fragrant white flowers in spring, and smooth, purplish-brown bark.  Plums are enjoyed fresh, dried (as prunes), or processed into jams, jellies, and other culinary products.","Prunus domestica, commonly known as the European plum, is a deciduous tree or shrub belonging to the Rosaceae family.  Native to Europe and western Asia, it is widely cultivated for its edible fruit, the plum, which comes in a variety of colors, shapes, and sizes depending on the cultivar. The tree typically features oval-shaped leaves, fragrant white flowers in spring, and smooth, purplish-brown bark.  Plums are enjoyed fresh, dried (as prunes), or processed into jams, jellies, and other culinary products."
63,Rose Of Sharon Shrub,Hibiscus Syriacus,n,n,n,y,n,n,y,n,n,,2-4,2-3 weeks,,"Hibiscus syriacus, commonly known as the Rose of Sharon, is a deciduous shrub or small tree prized for its late-season blooms. This hardy plant boasts large, trumpet-shaped flowers in a variety of colors, including white, pink, red, purple, and blue, often with a prominent central stamen. Its oval, three-lobed leaves provide a lush green backdrop, making it an attractive addition to gardens as a specimen plant, hedge, or in mixed borders. Thriving in full sun and well-drained soil, the Rose of Sharon is a relatively low-maintenance shrub, bringing vibrant color and interest to the landscape when many other flowering plants have faded.","Hibiscus syriacus, commonly known as the Rose of Sharon, is a deciduous shrub or small tree prized for its late-season blooms. This hardy plant boasts large, trumpet-shaped flowers in a variety of colors, including white, pink, red, purple, and blue, often with a prominent central stamen. Its oval, three-lobed leaves provide a lush green backdrop, making it an attractive addition to gardens as a specimen plant, hedge, or in mixed borders. Thriving in full sun and well-drained soil, the Rose of Sharon is a relatively low-maintenance shrub, bringing vibrant color and interest to the landscape when many other flowering plants have faded."
64,Finger Lime Rosso,Citrus Australasica,n,n,y,n,n,y,y,y,n,,3-6,1-2 weeks,,"Citrus australasica, commonly known as the finger lime, is a thorny shrub or small tree native to the subtropical rainforests of Australia. Its unique fruit resembles a stubby finger and contains juice vesicles that burst with a tangy, citrusy flavor. These tiny juice pearls, often referred to as ""lime caviar,"" come in a variety of colors ranging from green and yellow to pink and red. Highly prized in gourmet cuisine, finger limes add a burst of flavor and visual appeal to a wide range of dishes, making them a sought-after ingredient in both savory and sweet applications.","Citrus australasica, commonly known as the finger lime, is a thorny shrub or small tree native to the subtropical rainforests of Australia. Its unique fruit resembles a stubby finger and contains juice vesicles that burst with a tangy, citrusy flavor. These tiny juice pearls, often referred to as ""lime caviar,"" come in a variety of colors ranging from green and yellow to pink and red. Highly prized in gourmet cuisine, finger limes add a burst of flavor and visual appeal to a wide range of dishes, making them a sought-after ingredient in both savory and sweet applications."
65,Jacaranda,Jacaranda Mimosifolia,n,n,y,n,n,n,y,n,y,y,10-15,2-3 weeks,,"Jacaranda mimosifolia, commonly known as the jacaranda, is a beautiful and iconic flowering tree native to South America but widely cultivated in warm climates around the world. Reaching heights of up to 50 feet, it is easily recognized by its delicate, fern-like foliage and the profusion of trumpet-shaped, lavender-blue flowers that bloom in spring and early summer, creating a spectacular display. These blossoms often carpet the ground beneath the tree in a vibrant purple hue. While admired for its beauty, the jacaranda can be somewhat messy, shedding both leaves and flowers extensively throughout the year.","Jacaranda mimosifolia, commonly known as the jacaranda, is a beautiful and iconic flowering tree native to South America but widely cultivated in warm climates around the world. Reaching heights of up to 50 feet, it is easily recognized by its delicate, fern-like foliage and the profusion of trumpet-shaped, lavender-blue flowers that bloom in spring and early summer, creating a spectacular display. These blossoms often carpet the ground beneath the tree in a vibrant purple hue. While admired for its beauty, the jacaranda can be somewhat messy, shedding both leaves and flowers extensively throughout the year."
66,Pink Trumpet Tree,Handroanthus Impetiginosus,n,n,y,n,n,n,y,y,,,10-20,2-3 weeks,,"Handroanthus impetiginosus, commonly known as Pink Trumpet Tree or Ipe, is a stunning flowering tree native to South America. Renowned for its vibrant displays of pink to magenta trumpet-shaped blossoms that completely cover the branches before the leaves emerge in late winter or early spring, it creates a breathtaking spectacle. This deciduous tree can grow to impressive heights, boasting a strong, dense wood that is highly prized for its durability and resistance to decay, making it valuable in construction and furniture making. Beyond its ornamental and practical uses, it also holds traditional medicinal value, with various parts of the tree used in herbal remedies.","Handroanthus impetiginosus, commonly known as Pink Trumpet Tree or Ipe, is a stunning flowering tree native to South America. Renowned for its vibrant displays of pink to magenta trumpet-shaped blossoms that completely cover the branches before the leaves emerge in late winter or early spring, it creates a breathtaking spectacle. This deciduous tree can grow to impressive heights, boasting a strong, dense wood that is highly prized for its durability and resistance to decay, making it valuable in construction and furniture making. Beyond its ornamental and practical uses, it also holds traditional medicinal value, with various parts of the tree used in herbal remedies."
67,Black Sapote,Diospyros Nigra,n,n,y,n,n,y,n,n,y,,15-25,2-4 weeks,,"The Sapote Diospyrus, also known as black sapote or chocolate pudding fruit, is a tropical fruit tree native to Mexico and Central America. Its unassuming green fruit belies the surprisingly dark brown, almost black, pulp found within. This pulp has a soft, custard-like texture and a flavor often compared to chocolate pudding, though sometimes with a hint of persimmon. While the raw fruit can be consumed directly, it's often used in desserts, drinks, and spreads due to its unique flavor and versatility. The tree itself can grow quite large, producing abundant fruit during its season.","The Sapote Diospyrus, also known as black sapote or chocolate pudding fruit, is a tropical fruit tree native to Mexico and Central America. Its unassuming green fruit belies the surprisingly dark brown, almost black, pulp found within. This pulp has a soft, custard-like texture and a flavor often compared to chocolate pudding, though sometimes with a hint of persimmon. While the raw fruit can be consumed directly, it's often used in desserts, drinks, and spreads due to its unique flavor and versatility. The tree itself can grow quite large, producing abundant fruit during its season."
68,Calcutta Bamboo,Dendrocalamus Strictus,n,y,n,n,n,n,n,n,y,,15-25,1-2 weeks,,"Dendrocalamus strictus, commonly known as male bamboo or Calcutta bamboo, is a medium-sized, densely clumped bamboo species native to Southeast Asia and India. It's highly valued for its strength, durability, and versatile uses, ranging from construction and paper pulp production to handicrafts and edible shoots. This bamboo is characterized by its thick-walled culms (stems) that can grow up to 15 meters tall and its relatively drought-tolerant nature, making it a popular choice for reforestation and soil conservation efforts in drier regions. Its clumping growth habit also makes it relatively easy to manage compared to running bamboo species.","Dendrocalamus strictus, commonly known as male bamboo or Calcutta bamboo, is a medium-sized, densely clumped bamboo species native to Southeast Asia and India. It's highly valued for its strength, durability, and versatile uses, ranging from construction and paper pulp production to handicrafts and edible shoots. This bamboo is characterized by its thick-walled culms (stems) that can grow up to 15 meters tall and its relatively drought-tolerant nature, making it a popular choice for reforestation and soil conservation efforts in drier regions. Its clumping growth habit also makes it relatively easy to manage compared to running bamboo species."
69,Rainbow Eucalyptus,Eucalyptus Deglupta,n,n,y,n,n,n,y,y,y,,60-75,1-2 weeks,,"While ""NoEukalyptus Deglupta"" is not a recognized scientific or common name, it strongly suggests a deliberate misspelling or alteration of ""Eucalyptus deglupta,"" commonly known as the Rainbow Eucalyptus. Assuming this is the intended reference, the Rainbow Eucalyptus is a striking and unusual tree native to the Philippines, Indonesia, and Papua New Guinea, renowned for its vibrant, multicolored bark. This unique characteristic arises from the shedding of patches of bark at different times throughout the year, revealing layers of green, blue, purple, orange, and maroon hues as the inner bark matures and oxidizes.","While ""NoEukalyptus Deglupta"" is not a recognized scientific or common name, it strongly suggests a deliberate misspelling or alteration of ""Eucalyptus deglupta,"" commonly known as the Rainbow Eucalyptus. Assuming this is the intended reference, the Rainbow Eucalyptus is a striking and unusual tree native to the Philippines, Indonesia, and Papua New Guinea, renowned for its vibrant, multicolored bark. This unique characteristic arises from the shedding of patches of bark at different times throughout the year, revealing layers of green, blue, purple, orange, and maroon hues as the inner bark matures and oxidizes."
70,Empress Tree,Paulownia Tomentosa,n,n,y,n,n,n,y,y,y,,15-25,1-2 weeks,,"Paulownia tomentosa, also known as the Empress Tree or Princess Tree, is a fast-growing deciduous tree native to China.  It is characterized by its large, heart-shaped leaves, fragrant, showy clusters of pale violet, trumpet-shaped flowers in spring, and distinctive, oval seed capsules that persist throughout the winter. While prized for its ornamental value and fast wood production, Paulownia tomentosa is also considered invasive in many regions due to its aggressive growth habit and ability to outcompete native vegetation. It thrives in disturbed areas and can tolerate poor soil conditions, making it a controversial species with both appreciated benefits and environmental drawbacks.","Paulownia tomentosa, also known as the Empress Tree or Princess Tree, is a fast-growing deciduous tree native to China.  It is characterized by its large, heart-shaped leaves, fragrant, showy clusters of pale violet, trumpet-shaped flowers in spring, and distinctive, oval seed capsules that persist throughout the winter. While prized for its ornamental value and fast wood production, Paulownia tomentosa is also considered invasive in many regions due to its aggressive growth habit and ability to outcompete native vegetation. It thrives in disturbed areas and can tolerate poor soil conditions, making it a controversial species with both appreciated benefits and environmental drawbacks."
71,Naranjilla,Solanum Quitoense,n,n,n,y,n,y,n,y,n,,1-2,2-3 weeks,,"Solanum quitoense, commonly known as Naranjilla or Lulo, is a subtropical perennial plant native to the Andes mountains of Colombia and Ecuador. Valued for its juicy, citrus-like fruit, the Naranjilla plant features large, velvety leaves and thorny stems. The fruit, initially green and covered in fuzzy hairs, ripens to a bright orange color and boasts a unique flavor profile often described as a blend of pineapple, lime, and rhubarb. Though challenging to cultivate outside of its native environment due to its susceptibility to pests and diseases, the Naranjilla is gaining popularity globally for its distinctive taste and use in juices, jams, and desserts.","Solanum quitoense, commonly known as Naranjilla or Lulo, is a subtropical perennial plant native to the Andes mountains of Colombia and Ecuador. Valued for its juicy, citrus-like fruit, the Naranjilla plant features large, velvety leaves and thorny stems. The fruit, initially green and covered in fuzzy hairs, ripens to a bright orange color and boasts a unique flavor profile often described as a blend of pineapple, lime, and rhubarb. Though challenging to cultivate outside of its native environment due to its susceptibility to pests and diseases, the Naranjilla is gaining popularity globally for its distinctive taste and use in juices, jams, and desserts."
72,Yellow Magnolia,Magnolia Champaca,n,n,y,n,n,n,y,y,,,20-30,2-3 weeks,,"Magnolia champaca, often simply called champak, is a stunning evergreen tree prized for its intensely fragrant flowers. Native to Southeast Asia, its blossoms range in color from creamy white to vibrant orange and emit a sweet, heady aroma that is used extensively in perfumery. Beyond its captivating scent, champak is also valued for its ornamental beauty, boasting glossy green leaves and an elegant, upright growth habit. Its wood is also used in construction and woodworking, making the Magnolia champaca a highly versatile and cherished plant.","Magnolia champaca, often simply called champak, is a stunning evergreen tree prized for its intensely fragrant flowers. Native to Southeast Asia, its blossoms range in color from creamy white to vibrant orange and emit a sweet, heady aroma that is used extensively in perfumery. Beyond its captivating scent, champak is also valued for its ornamental beauty, boasting glossy green leaves and an elegant, upright growth habit. Its wood is also used in construction and woodworking, making the Magnolia champaca a highly versatile and cherished plant."
73,Traveller Palm,Ravenala Madagascariensis,n,n,y,n,n,n,n,n,,,10-20,Variable,,"Renala madagascariensis, commonly known as the Madagascar Pygmy Chameleon, is a diminutive chameleon species endemic to Madagascar. Reaching only a few inches in length, these chameleons are masters of camouflage, blending seamlessly into the leaf litter and low vegetation of their rainforest habitat. They are oviparous, laying tiny clutches of eggs that hatch into equally small offspring. While not currently threatened, habitat loss and degradation due to deforestation pose a significant threat to their long-term survival.","Renala madagascariensis, commonly known as the Madagascar Pygmy Chameleon, is a diminutive chameleon species endemic to Madagascar. Reaching only a few inches in length, these chameleons are masters of camouflage, blending seamlessly into the leaf litter and low vegetation of their rainforest habitat. They are oviparous, laying tiny clutches of eggs that hatch into equally small offspring. While not currently threatened, habitat loss and degradation due to deforestation pose a significant threat to their long-term survival."
74,Rosy Trumpet Tree,Tabebuia rosea,n,n,y,n,n,n,y,y,,,10-20,2-3 weeks,,"Tabebuia rosea, also known as the pink trumpet tree, is a stunning tropical tree celebrated for its breathtaking displays of vibrant pink, trumpet-shaped flowers that bloom in profusion during the dry season. This deciduous tree boasts a rounded crown and smooth, gray bark, reaching heights of up to 50 feet. Beyond its ornamental value, Tabebuia rosea is also appreciated for its light wood, which is used in carpentry and construction, and its medicinal properties in some traditional practices.  Its impressive floral show makes it a popular choice for landscaping in warm climates, adding a splash of color to parks, gardens, and streets.","Tabebuia rosea, also known as the pink trumpet tree, is a stunning tropical tree celebrated for its breathtaking displays of vibrant pink, trumpet-shaped flowers that bloom in profusion during the dry season. This deciduous tree boasts a rounded crown and smooth, gray bark, reaching heights of up to 50 feet. Beyond its ornamental value, Tabebuia rosea is also appreciated for its light wood, which is used in carpentry and construction, and its medicinal properties in some traditional practices.  Its impressive floral show makes it a popular choice for landscaping in warm climates, adding a splash of color to parks, gardens, and streets."
75,Paper Mulberry,Broussonetia Papyrifera,n,n,y,n,n,y,n,n,y,y,10-15,1-2 weeks,,"Broussonetia papyrifera, commonly known as the paper mulberry, is a deciduous tree native to Asia. It is characterized by its fast growth, coarse, hairy leaves resembling those of the mulberry, and its ability to propagate readily through root suckers, making it potentially invasive in some regions. The bark is fibrous and was historically used to create tapa cloth in various cultures, while the tree also produces small, reddish-orange fruit enjoyed by birds. While the paper mulberry provides shade and serves as a source of fiber, its aggressive growth habit and allergen-producing pollen often make it an undesirable species in many landscapes.","Broussonetia papyrifera, commonly known as the paper mulberry, is a deciduous tree native to Asia. It is characterized by its fast growth, coarse, hairy leaves resembling those of the mulberry, and its ability to propagate readily through root suckers, making it potentially invasive in some regions. The bark is fibrous and was historically used to create tapa cloth in various cultures, while the tree also produces small, reddish-orange fruit enjoyed by birds. While the paper mulberry provides shade and serves as a source of fiber, its aggressive growth habit and allergen-producing pollen often make it an undesirable species in many landscapes."
76,Sandalwood,Santalum Album,n,n,y,n,n,n,y,y,y,,10-15,Variable,can be challenging,"Santalum album, commonly known as Indian sandalwood, is a slow-growing, hemiparasitic tree native to India, Australia, and Indonesia. Highly prized for its fragrant heartwood, which retains its scent for decades, it's used extensively in perfumes, incense, carvings, and traditional medicines. The tree derives some of its nutrients from the roots of other plants, but it can also survive independently. Due to over-exploitation and illegal harvesting, Santalum album is now classified as vulnerable, prompting efforts towards sustainable cultivation and conservation.","Santalum album, commonly known as Indian sandalwood, is a slow-growing, hemiparasitic tree native to India, Australia, and Indonesia. Highly prized for its fragrant heartwood, which retains its scent for decades, it's used extensively in perfumes, incense, carvings, and traditional medicines. The tree derives some of its nutrients from the roots of other plants, but it can also survive independently. Due to over-exploitation and illegal harvesting, Santalum album is now classified as vulnerable, prompting efforts towards sustainable cultivation and conservation."
77,Grape Myrtle,Lagerstroemia Indica,n,n,y,y,n,n,y,y,y,,3-8,2-3 weeks,,"Lagerstroemia indica, commonly known as crape myrtle, is a deciduous tree or large shrub celebrated for its vibrant and long-lasting summer blooms in shades of pink, red, lavender, and white. This ornamental plant boasts a distinctive smooth, mottled bark that exfoliates with age, adding winter interest.  Its leaves are small, oval, and turn bronze-red in the fall. Crape myrtles are relatively low-maintenance and drought-tolerant once established, making them popular choices for landscaping in warmer climates.","Lagerstroemia indica, commonly known as crape myrtle, is a deciduous tree or large shrub celebrated for its vibrant and long-lasting summer blooms in shades of pink, red, lavender, and white. This ornamental plant boasts a distinctive smooth, mottled bark that exfoliates with age, adding winter interest.  Its leaves are small, oval, and turn bronze-red in the fall. Crape myrtles are relatively low-maintenance and drought-tolerant once established, making them popular choices for landscaping in warmer climates."
78,Hardy Pecan,Carya Illinoinensis,n,n,y,n,n,y,n,n,y,,20-30,Variable,often requires stratification,"Carya illinoinensis, commonly known as the pecan tree, is a large deciduous tree native to the south-central United States and northeastern Mexico. Revered for its edible nuts, pecans are a commercially important crop worldwide. The tree itself boasts an impressive stature, often reaching heights of over 100 feet, with a broad, spreading crown. Pecans thrive in warm, humid climates with well-drained soil and are prized not only for their nuts but also for their attractive foliage and valuable timber.","Carya illinoinensis, commonly known as the pecan tree, is a large deciduous tree native to the south-central United States and northeastern Mexico. Revered for its edible nuts, pecans are a commercially important crop worldwide. The tree itself boasts an impressive stature, often reaching heights of over 100 feet, with a broad, spreading crown. Pecans thrive in warm, humid climates with well-drained soil and are prized not only for their nuts but also for their attractive foliage and valuable timber."
79,Cacao Tree,Theobroma Cacao,n,n,y,n,n,y,y,y,n,,4-8,2-3 weeks,,"Theobroma cacao, also known as the cacao tree or chocolate tree, is a small evergreen tree native to the tropical regions of Central and South America. It is prized for its cacao beans, which grow inside large, football-shaped pods directly on the trunk and branches. These beans are the source of chocolate, and are fermented, dried, roasted, and ground to produce cocoa solids and cocoa butter. Cacao trees thrive in warm, humid climates with shade and are cultivated commercially in many tropical countries around the world.","Theobroma cacao, also known as the cacao tree or chocolate tree, is a small evergreen tree native to the tropical regions of Central and South America. It is prized for its cacao beans, which grow inside large, football-shaped pods directly on the trunk and branches. These beans are the source of chocolate, and are fermented, dried, roasted, and ground to produce cocoa solids and cocoa butter. Cacao trees thrive in warm, humid climates with shade and are cultivated commercially in many tropical countries around the world."
80,Boxelder,Acer Negundo,n,n,y,n,n,n,n,n,y,,15-20,2-3 weeks,,"Alcer Negrundo is a gruff and enigmatic dwarven merchant, known throughout the mountain passes for his shrewd bartering and uncanny ability to acquire rare and unusual goods. He's a stout figure, weathered by years of travel and clad in practical leathers and furs, his face perpetually hidden behind a thick, braided beard that often serves as a depository for stray crumbs and lost trinkets. Despite his gruff demeanor, Alcer possesses a sharp wit and a surprising knack for storytelling, though earning his trust enough to hear one of his tales is a feat in itself, often requiring a valuable trade or a compelling display of genuine respect.","Alcer Negrundo is a gruff and enigmatic dwarven merchant, known throughout the mountain passes for his shrewd bartering and uncanny ability to acquire rare and unusual goods. He's a stout figure, weathered by years of travel and clad in practical leathers and furs, his face perpetually hidden behind a thick, braided beard that often serves as a depository for stray crumbs and lost trinkets. Despite his gruff demeanor, Alcer possesses a sharp wit and a surprising knack for storytelling, though earning his trust enough to hear one of his tales is a feat in itself, often requiring a valuable trade or a compelling display of genuine respect."
81,Bitter Orange,Citrus Trifoliata,n,n,y,n,n,y,y,y,y,,5-8,1-2 weeks,,"Citrus trifoliata, also known as the trifoliate orange or bitter orange, is a cold-hardy, deciduous citrus tree native to northern China and Korea. Unlike most citrus, it can tolerate freezing temperatures, making it valuable as a rootstock for grafting more sensitive citrus varieties. It's characterized by its trifoliate leaves (three leaflets per leaf), thorny branches, and small, fuzzy, inedible fruit that ripens to a bright orange color. Though the fruit is unpalatable raw, it can be used to make marmalade or candied peel. It is also often used as a hedging plant due to its dense growth and thorny nature.","Citrus trifoliata, also known as the trifoliate orange or bitter orange, is a cold-hardy, deciduous citrus tree native to northern China and Korea. Unlike most citrus, it can tolerate freezing temperatures, making it valuable as a rootstock for grafting more sensitive citrus varieties. It's characterized by its trifoliate leaves (three leaflets per leaf), thorny branches, and small, fuzzy, inedible fruit that ripens to a bright orange color. Though the fruit is unpalatable raw, it can be used to make marmalade or candied peel. It is also often used as a hedging plant due to its dense growth and thorny nature."
82,Nashi,Pyrus Pyrifolia,n,n,y,n,n,y,y,y,n,,5-10,1-2 weeks,,"Pyrus pyrifolia, commonly known as the Asian pear, nashi pear, or apple pear, is a species of pear native to East Asia, widely cultivated for its crisp, juicy, and slightly gritty fruit. Unlike European pears, Asian pears are typically round and apple-shaped with a light brown or yellowish-green skin speckled with lenticels. They are known for their refreshing, sweet flavor, high water content, and firm texture, making them a popular choice for eating fresh, adding to salads, or using in Asian cuisine.","Pyrus pyrifolia, commonly known as the Asian pear, nashi pear, or apple pear, is a species of pear native to East Asia, widely cultivated for its crisp, juicy, and slightly gritty fruit. Unlike European pears, Asian pears are typically round and apple-shaped with a light brown or yellowish-green skin speckled with lenticels. They are known for their refreshing, sweet flavor, high water content, and firm texture, making them a popular choice for eating fresh, adding to salads, or using in Asian cuisine."
83,Nutmeg,Myristica Fragrans,n,n,y,n,n,y,y,y,y,,10-20,3-6 months,,"Myristica is a genus of evergreen trees native to tropical regions, primarily known for producing the spices nutmeg and mace, both derived from the fruit of *Myristica fragrans*. These aromatic trees bear pear-shaped fruits that split open to reveal a reddish aril (mace) surrounding a hard, dark brown seed (nutmeg). Beyond their culinary significance, Myristica species have also been traditionally used in various medicinal and perfumery applications due to their unique chemical compounds. The cultivation of Myristica trees is an important agricultural activity in many parts of Southeast Asia and the West Indies.","Myristica is a genus of evergreen trees native to tropical regions, primarily known for producing the spices nutmeg and mace, both derived from the fruit of *Myristica fragrans*. These aromatic trees bear pear-shaped fruits that split open to reveal a reddish aril (mace) surrounding a hard, dark brown seed (nutmeg). Beyond their culinary significance, Myristica species have also been traditionally used in various medicinal and perfumery applications due to their unique chemical compounds. The cultivation of Myristica trees is an important agricultural activity in many parts of Southeast Asia and the West Indies."
84,Olive Tree,Olea Europaea,n,n,y,n,n,y,y,y,y,,8-15,2-3 weeks,,"Olea Europaea, commonly known as the olive tree, is an evergreen tree or shrub native to the Mediterranean region. Prized for its silvery-green leaves, gnarled trunk, and flavorful fruit, the olive tree is cultivated for olive oil, table olives, and wood. It is a long-lived and drought-resistant species, symbolizing peace, wisdom, and longevity in many cultures. Olive trees thrive in warm climates with well-drained soil and are an integral part of Mediterranean landscapes and economies.","Olea Europaea, commonly known as the olive tree, is an evergreen tree or shrub native to the Mediterranean region. Prized for its silvery-green leaves, gnarled trunk, and flavorful fruit, the olive tree is cultivated for olive oil, table olives, and wood. It is a long-lived and drought-resistant species, symbolizing peace, wisdom, and longevity in many cultures. Olive trees thrive in warm climates with well-drained soil and are an integral part of Mediterranean landscapes and economies."
